tconst	ordering	nconst	category	job	characters
tt0000807	9	nm0163559	actor	\N	["Minister"]
tt0000808	1	nm0298301	actress	\N	\N
tt0000808	2	nm0111753	director	\N	\N
tt0000809	1	nm0002503	actor	\N	\N
tt0000809	2	nm0000428	director	\N	\N
tt0000810	1	nm0001908	actor	\N	\N
tt0000811	1	nm0294276	director	\N	\N
tt0000811	2	nm0378408	producer	producer	\N
tt0000812	1	nm0185426	director	\N	\N
tt0000812	2	nm0870831	cinematographer	\N	\N
tt0000813	1	nm0644728	actor	\N	\N
tt0000813	2	nm0298301	actress	\N	\N
tt0000813	3	nm0205986	director	\N	\N
tt0000813	4	nm0674518	writer	story	\N
tt0000814	1	nm0185426	director	\N	\N
tt0000814	2	nm0870831	cinematographer	\N	\N
tt0000815	10	nm0226992	actor	\N	\N
tt0000815	1	nm0813603	actor	\N	["A Tourist"]
tt0000815	2	nm0311375	actor	\N	["A Guard"]
tt0000815	3	nm0492757	actress	\N	["The Guard's Sweetheart"]
tt0000815	4	nm0587097	actor	\N	["The Guard's Sweetheart's Father"]
tt0000815	5	nm0000428	director	\N	\N
tt0000815	6	nm0005658	cinematographer	\N	\N
tt0000815	7	nm0409390	actor	\N	["An Unscrupulous Hindu"]
tt0000815	8	nm0424530	actor	\N	["Executioner"]
tt0000815	9	nm0173994	actor	\N	["Tourist"]
tt0000816	10	nm0502701	actress	\N	["Mexican Woman"]
tt0000816	1	nm0288616	actor	\N	["George Peabody1"]
tt0000816	2	nm0681933	actress	\N	["Ruth King"]
tt0000816	3	nm0115524	actress	\N	["Ruth's Mother"]
tt0000816	4	nm0366008	actor	\N	["Outside Company Office"]
tt0000816	5	nm0000428	director	\N	\N
tt0000816	6	nm0005658	cinematographer	\N	\N
tt0000816	7	nm0376396	actor	\N	\N
tt0000816	8	nm0424530	actor	\N	["Mr. Joplin"]
tt0000816	9	nm0456804	actor	\N	["At Bar Table"]
tt0000817	1	nm0088881	actor	\N	["Lefebre"]
tt0000817	2	nm5227669	actress	\N	\N
tt0000817	3	nm0488932	actor	\N	["Napoleon"]
tt0000817	4	nm0776198	actor	\N	\N
tt0000817	5	nm0333175	cinematographer	\N	\N
tt0000817	6	nm0937628	actor	\N	["Budbringeren"]
tt0000817	7	nm3412368	actor	\N	\N
tt0000818	1	nm0294276	director	\N	\N
tt0000818	2	nm0378408	producer	producer	\N
tt0000819	10	nm0424530	actor	\N	["Policeman"]
tt0000819	1	nm0813603	actor	\N	["Henry Newman"]
tt0000819	2	nm0409390	actor	\N	["Dick Folsom"]
tt0000819	3	nm0502701	actress	\N	["Mrs. Newman"]
tt0000819	4	nm0214651	actress	\N	["One of the Children"]
tt0000819	5	nm0000428	director	\N	\N
tt0000819	6	nm0005658	cinematographer	\N	\N
tt0000819	7	nm0555522	cinematographer	\N	\N
tt0000819	8	nm0366008	actor	\N	["The Messenger"]
tt0000819	9	nm0369058	actor	\N	["At Folsom's","Secretary"]
tt0000820	1	nm0063413	director	\N	\N
tt0000820	2	nm0185426	cinematographer	\N	\N
tt0000820	3	nm0870831	cinematographer	\N	\N
tt0000821	10	nm0408436	actor	\N	\N
tt0000821	1	nm0288616	actor	\N	["A Visiting Nobleman"]
tt0000821	2	nm0492757	actress	\N	["The Princess"]
tt0000821	3	nm0038106	actress	\N	\N
tt0000821	4	nm0041858	actor	\N	\N
tt0000821	5	nm0000428	director	\N	\N
tt0000821	6	nm0005658	cinematographer	\N	\N
tt0000821	7	nm0043018	actor	\N	["A Member of the Court"]
tt0000821	8	nm0115524	actress	\N	\N
tt0000821	9	nm0173994	actor	\N	["A Musketeer","A Member of the Court"]
tt0000822	1	nm0063413	director	\N	\N
tt0000822	2	nm0550220	director	\N	\N
tt0000822	3	nm0063412	cinematographer	\N	\N
tt0000823	10	nm1013170	actor	\N	\N
tt0000823	1	nm0601698	actor	\N	["Howard Norris"]
tt0000823	2	nm0115524	actress	\N	["Howard's Mother"]
tt0000823	3	nm0226992	actor	\N	["One of Howard's Companions"]
tt0000823	4	nm0331049	actor	\N	\N
tt0000823	5	nm0000428	director	\N	\N
tt0000823	6	nm0940488	writer	writer	\N
tt0000823	7	nm0005658	cinematographer	\N	\N
tt0000823	8	nm0424530	actor	\N	["The Real Minister"]
tt0000823	9	nm0456804	actor	\N	["The Farmer"]
tt0000824	1	nm0298301	actress	\N	\N
tt0000824	2	nm0692105	director	\N	\N
tt0000825	10	nm0288616	actor	\N	\N
tt0000825	1	nm0038106	actress	\N	\N
tt0000825	2	nm0163559	actor	\N	\N
tt0000825	3	nm0214651	actress	\N	["Child"]
tt0000825	4	nm0250676	actress	\N	["Child"]
tt0000825	5	nm0000428	director	\N	\N
tt0000825	6	nm0005658	cinematographer	\N	\N
tt0000825	7	nm0502701	actress	\N	\N
tt0000825	8	nm0601698	actor	\N	\N
tt0000825	9	nm0681933	actress	\N	\N
tt0000826	10	nm0910400	actor	\N	["Harry"]
tt0000826	1	nm0054884	actress	\N	["Gladys"]
tt0000826	2	nm0115524	actress	\N	\N
tt0000826	3	nm0185803	actor	\N	["Bachelor"]
tt0000826	4	nm0642722	actor	\N	["Bachelor"]
tt0000826	5	nm0000428	director	\N	\N
tt0000826	6	nm0005658	cinematographer	\N	\N
tt0000826	7	nm0704334	actor	\N	["Bachelor"]
tt0000826	8	nm0784407	actor	\N	["Bachelor"]
tt0000826	9	nm0842239	actress	\N	["One of Gladys' Friends"]
tt0000827	1	nm0456804	actor	\N	["Comata, the Sioux"]
tt0000827	2	nm0502701	actress	\N	["Clear Eyes"]
tt0000827	3	nm0424530	actor	\N	["Bud Watkins"]
tt0000827	4	nm0038106	actress	\N	["Nellie Howe"]
tt0000827	5	nm0000428	director	\N	\N
tt0000827	6	nm0853193	writer	writer	\N
tt0000827	7	nm0005658	cinematographer	\N	\N
tt0000827	8	nm0163559	actor	\N	["Father","Indian Chief"]
tt0000827	9	nm0478359	actress	\N	\N
tt0000828	10	nm0115524	actress	\N	\N
tt0000828	1	nm0492757	actress	\N	["Nellie Burton"]
tt0000828	2	nm0409390	actor	\N	["Jim Colt"]
tt0000828	3	nm0697944	actor	\N	["Dinner Guest","In Bar"]
tt0000828	4	nm0173994	actor	\N	["In Bar"]
tt0000828	5	nm0000428	director	\N	\N
tt0000828	6	nm0005658	cinematographer	\N	\N
tt0000828	7	nm0555522	cinematographer	\N	\N
tt0000828	8	nm0038106	actress	\N	["Dinner Guest"]
tt0000828	9	nm0043018	actor	\N	["Dinner Guest"]
tt0000829	10	nm0601698	actor	\N	["Workman","Guard","Loiterer"]
tt0000829	1	nm0456804	actor	\N	["The Convict"]
tt0000829	2	nm0910400	actor	\N	["The Convict's Friend"]
tt0000829	3	nm0519310	actress	\N	["The Convict's Friend's Wife"]
tt0000829	4	nm0038106	actress	\N	\N
tt0000829	5	nm0000428	director	\N	\N
tt0000829	6	nm0005658	cinematographer	\N	\N
tt0000829	7	nm0076202	actress	\N	\N
tt0000829	8	nm0250676	actress	\N	["A Child"]
tt0000829	9	nm0424530	actor	\N	["Guard","Convict"]
tt0000830	1	nm0097769	actor	\N	\N
tt0000830	2	nm0005717	director	\N	\N
tt0000831	10	nm0102858	actress	\N	\N
tt0000831	1	nm0409390	actor	\N	["Galora"]
tt0000831	2	nm0502701	actress	\N	["Galora's Wife"]
tt0000831	3	nm0311375	actor	\N	["Antonine"]
tt0000831	4	nm0038106	actress	\N	["Woman in Tenement"]
tt0000831	5	nm0000428	director	\N	\N
tt0000831	6	nm0692105	producer	producer	\N
tt0000831	7	nm0005658	cinematographer	\N	\N
tt0000831	8	nm0555522	cinematographer	\N	\N
tt0000831	9	nm0076202	actress	\N	\N
tt0000832	1	nm0288616	actor	\N	["The Wheat King"]
tt0000832	2	nm0376442	actress	\N	["The Wheat King's Wife"]
tt0000832	3	nm0456804	actor	\N	["Farmer"]
tt0000832	4	nm0038106	actress	\N	["Farmer's Wife"]
tt0000832	5	nm0000428	director	\N	\N
tt0000832	6	nm0635805	writer	novel "The Pit"	\N
tt0000832	7	nm0940488	writer	\N	\N
tt0000832	8	nm0005658	cinematographer	\N	\N
tt0000832	9	nm0808571	editor	\N	\N
tt0000833	1	nm0115524	actress	\N	["Poor Mother"]
tt0000833	2	nm0214651	actress	\N	["Poor Mother's Sick Daughter"]
tt0000833	3	nm0250676	actress	\N	["Edith Harcourt - Daughter"]
tt0000833	4	nm0455237	actress	\N	["Maid"]
tt0000833	5	nm0000428	director	\N	\N
tt0000833	6	nm0492757	actress	\N	["Mrs.Harcourt"]
tt0000833	7	nm0681933	actress	\N	["Poor Mother's Elder Daughter"]
tt0000833	8	nm0288616	actor	\N	["Doctor Harcourt"]
tt0000834	1	nm0294276	director	\N	\N
tt0000834	2	nm0378408	producer	producer	\N
tt0000835	10	nm0587097	actor	\N	["Caleb Plummer"]
tt0000835	1	nm0601698	actor	\N	["Edward Plummer"]
tt0000835	2	nm0581499	actress	\N	["May Fielding"]
tt0000835	3	nm0038106	actress	\N	["Sister Dorothy"]
tt0000835	4	nm0922044	actress	\N	["Sister Bertha (unconfirmed)"]
tt0000835	5	nm0000428	director	\N	\N
tt0000835	6	nm0002042	writer	short story	\N
tt0000835	7	nm0940488	writer	writer	\N
tt0000835	8	nm0005658	cinematographer	\N	\N
tt0000835	9	nm0555522	cinematographer	\N	\N
tt0000836	1	nm0495051	actor	\N	["Diogo Alves"]
tt0000836	2	nm1860567	actress	\N	["Parreirinha a Sua Amante - Diogo's lover"]
tt0000836	3	nm0272889	actor	\N	["Luger-tenente de Diogo Alves - Diogo's aind"]
tt0000836	4	nm0274368	actor	\N	["Bandoleiro - bandit"]
tt0000836	5	nm0180860	director	\N	\N
tt0000836	6	nm0851633	actor	\N	["Bandoleiro"]
tt0000836	7	nm1728086	actor	\N	["Bandoleiro"]
tt0000837	10	nm0492757	actress	\N	["The Maid"]
tt0000837	1	nm0601698	actor	\N	["The Man"]
tt0000837	2	nm0502701	actress	\N	["The Man's Fiancee"]
tt0000837	3	nm0424530	actor	\N	["The Criminal Hypnotist"]
tt0000837	4	nm0587097	actor	\N	["The Robbery Victim","Party Guest"]
tt0000837	5	nm0000428	director	\N	\N
tt0000837	6	nm0005658	cinematographer	\N	\N
tt0000837	7	nm0409390	actor	\N	["The Professor","Party Guest"]
tt0000837	8	nm0311375	actor	\N	["The Professor's Assistant","A Policeman","Party Guest"]
tt0000837	9	nm0813603	actor	\N	["The Doctor"]
tt0000838	1	nm0017074	director	\N	\N
tt0000839	1	nm0294276	director	\N	\N
tt0000839	2	nm0378408	producer	producer	\N
tt0000840	1	nm0784407	actor	\N	["Monsieur Dupont"]
tt0000840	2	nm0813603	actor	\N	["Mr. Edwards"]
tt0000840	3	nm0492757	actress	\N	["Mrs. Edwards"]
tt0000840	4	nm0038106	actress	\N	["Party planner","Woman on street"]
tt0000840	5	nm0000428	director	\N	\N
tt0000840	6	nm0005658	writer	story	\N
tt0000841	10	nm0499883	actor	\N	["Party Guest"]
tt0000841	1	nm0424530	actor	\N	["Mr. Hilton"]
tt0000841	2	nm0842239	actress	\N	["The New Year"]
tt0000841	3	nm0502701	actress	\N	["Mrs. Hilton"]
tt0000841	4	nm0629589	actor	\N	["A Friend"]
tt0000841	5	nm0000428	director	\N	\N
tt0000841	6	nm0681933	writer	writer	\N
tt0000841	7	nm0038106	actress	\N	["Servant"]
tt0000841	8	nm0262757	actor	\N	["Party Guest"]
tt0000841	9	nm0456804	actor	\N	["Party Guest"]
tt0000842	1	nm0005717	director	\N	\N
tt0000843	10	nm0038106	actress	\N	\N
tt0000843	1	nm0629589	actor	\N	["The Catholic"]
tt0000843	2	nm0502701	actress	\N	["The Catholic's Wife"]
tt0000843	3	nm0354803	actress	\N	["The Catholic's Child"]
tt0000843	4	nm0288616	actor	\N	["Oliver Cromwell"]
tt0000843	5	nm0000428	director	\N	\N
tt0000843	6	nm0878494	writer	story	\N
tt0000843	7	nm0940488	writer	writer	\N
tt0000843	8	nm0005658	cinematographer	\N	\N
tt0000843	9	nm0456804	actor	\N	["Cromwell's Advisor"]
tt0000844	10	nm2155522	production_designer	\N	\N
tt0000844	1	nm0805569	actor	\N	["Ivan the Terrible"]
tt0000844	2	nm0882643	actress	\N	["Tsarina"]
tt0000844	3	nm1234552	actor	\N	["Boris Godunov"]
tt0000844	4	nm1033426	actor	\N	["Nagoy, boyar"]
tt0000844	5	nm0327201	director	\N	\N
tt0000844	6	nm0866239	writer	plays	\N
tt0000844	7	nm1234058	producer	producer	\N
tt0000844	8	nm1234590	producer	producer	\N
tt0000844	9	nm2157518	cinematographer	\N	\N
tt0000845	10	nm1352982	actress	\N	["At Laundry"]
tt0000845	1	nm0949133	actor	\N	["Harvey Colton"]
tt0000845	2	nm0492757	actress	\N	["Mabel Colton"]
tt0000845	3	nm0038106	actress	\N	\N
tt0000845	4	nm0214651	actress	\N	["At Laundry"]
tt0000845	5	nm0000428	director	\N	\N
tt0000845	6	nm0005658	cinematographer	\N	\N
tt0000845	7	nm0376829	actress	\N	["At Laundry"]
tt0000845	8	nm0409390	actor	\N	["Landlord"]
tt0000845	9	nm0424530	actor	\N	["Man in Top Hat","Rich Patron's Secretary"]
tt0000846	1	nm0023107	director	\N	\N
tt0000847	1	nm0316220	actor	\N	["The Groom"]
tt0000847	2	nm0464189	actress	\N	["The Bride"]
tt0000847	3	nm0093361	director	\N	\N
tt0000847	4	nm0243017	producer	producer	\N
tt0000847	5	nm1902148	producer	producer	\N
tt0000847	6	nm0667386	cinematographer	\N	\N
tt0000847	7	nm0246950	production_designer	\N	\N
tt0000848	1	nm0617588	director	\N	\N
tt0000849	1	nm0063413	director	\N	\N
tt0000849	2	nm0550220	director	\N	\N
tt0000849	3	nm0063412	cinematographer	\N	\N
tt0000850	1	nm0063413	director	\N	\N
tt0000850	2	nm0550220	director	\N	\N
tt0000850	3	nm0063412	cinematographer	\N	\N
tt0000851	10	nm0681933	actress	\N	\N
tt0000851	1	nm0424530	actor	\N	["Harry Walker"]
tt0000851	2	nm0502701	actress	\N	["Madame Lebrun"]
tt0000851	3	nm0492757	actress	\N	["Mignon"]
tt0000851	4	nm0038106	actress	\N	["One of Mignon's Sisters"]
tt0000851	5	nm0000428	director	\N	\N
tt0000851	6	nm0005658	cinematographer	\N	\N
tt0000851	7	nm0555522	cinematographer	\N	\N
tt0000851	8	nm0366008	actor	\N	["Messenger"]
tt0000851	9	nm0376829	actress	\N	["Mignon's Mother"]
tt0000852	10	nm0376829	actress	\N	["Woman In the Play","Woman In the Audience"]
tt0000852	1	nm0424530	actor	\N	["John Wharton"]
tt0000852	2	nm0038106	actress	\N	["Mrs. John Wharton"]
tt0000852	3	nm0214651	actress	\N	["The Wharton Daughter"]
tt0000852	4	nm0043018	actor	\N	["Man In the Play"]
tt0000852	5	nm0000428	director	\N	\N
tt0000852	6	nm0005658	cinematographer	\N	\N
tt0000852	7	nm0173994	actor	\N	["Man In the Orchestra","Man In the Bar"]
tt0000852	8	nm0250676	actress	\N	\N
tt0000852	9	nm0366008	actor	\N	["Theatre Usher"]
tt0000853	10	nm0492757	actress	\N	\N
tt0000853	1	nm0409390	actor	\N	["Hidalgo"]
tt0000853	2	nm0587097	actor	\N	["Manuel"]
tt0000853	3	nm0502701	actress	\N	["Mercedes"]
tt0000853	4	nm0038106	actress	\N	["Mercedes' Friend"]
tt0000853	5	nm0000428	director	\N	\N
tt0000853	6	nm0005658	cinematographer	\N	\N
tt0000853	7	nm0555522	cinematographer	\N	\N
tt0000853	8	nm0949133	actor	\N	["Carlos"]
tt0000853	9	nm0102858	actress	\N	\N
tt0000854	10	nm0587097	actor	\N	["Second Publisher"]
tt0000854	1	nm0949133	actor	\N	["Edgar Allan Poe"]
tt0000854	2	nm0038106	actress	\N	["Virginia Poe"]
tt0000854	3	nm0102858	actress	\N	\N
tt0000854	4	nm0376829	actress	\N	["Second Publisher's Wife"]
tt0000854	5	nm0000428	director	\N	\N
tt0000854	6	nm0940488	writer	writer	\N
tt0000854	7	nm0005658	cinematographer	\N	\N
tt0000854	8	nm0424530	actor	\N	["First Publisher"]
tt0000854	9	nm0456804	actor	\N	\N
tt0000855	10	nm0642722	actor	\N	["The Butler"]
tt0000855	1	nm0492757	actress	\N	["Margie"]
tt0000855	2	nm0587097	actor	\N	["Margie's Father"]
tt0000855	3	nm0376829	actress	\N	["Aunty"]
tt0000855	4	nm0424530	actor	\N	["The Minister","In Store"]
tt0000855	5	nm0000428	director	\N	\N
tt0000855	6	nm0005658	cinematographer	\N	\N
tt0000855	7	nm0555522	cinematographer	\N	\N
tt0000855	8	nm0102858	actress	\N	\N
tt0000855	9	nm0581499	actress	\N	["In Store"]
tt0000856	1	nm0246715	self	\N	["Himself"]
tt0000856	2	nm1138324	self	\N	["Himself"]
tt0000856	3	nm0023107	director	\N	\N
tt0000857	10	nm0519310	actress	\N	["The Maid (unconfirmed)"]
tt0000857	1	nm0041669	actress	\N	["Matilda Scroggins"]
tt0000857	2	nm0492757	actress	\N	["Flora, Aunty's Ward"]
tt0000857	3	nm0601698	actor	\N	["Tom Norton"]
tt0000857	4	nm0424530	actor	\N	["Revered Joshua Wittington"]
tt0000857	5	nm0000428	director	\N	\N
tt0000857	6	nm0005658	cinematographer	\N	\N
tt0000857	7	nm0555522	cinematographer	\N	\N
tt0000857	8	nm0697944	actor	\N	["Bill Corker"]
tt0000857	9	nm0043018	actor	\N	["Servant"]
tt0000858	10	nm0642722	actor	\N	["Servant"]
tt0000858	1	nm0601698	actor	\N	["John Waterbury"]
tt0000858	2	nm0502701	actress	\N	["Helen Waterbury, John's Wife"]
tt0000858	3	nm0424530	actor	\N	["William Trevor"]
tt0000858	4	nm0262757	actor	\N	["Servant","Man in Cabin"]
tt0000858	5	nm0000428	director	\N	\N
tt0000858	6	nm0005658	cinematographer	\N	\N
tt0000858	7	nm0373341	actor	\N	["Trevor's Servant"]
tt0000858	8	nm0456804	actor	\N	\N
tt0000858	9	nm0629589	actor	\N	["Man in Cabin"]
tt0000859	1	nm0005717	director	\N	\N
tt0000860	10	nm0534221	actress	\N	\N
tt0000860	1	nm0587097	actor	\N	["Francois"]
tt0000860	2	nm0456804	actor	\N	["The Doctor"]
tt0000860	3	nm0038106	actress	\N	\N
tt0000860	4	nm0054884	actress	\N	\N
tt0000860	5	nm0000428	director	\N	\N
tt0000860	6	nm0005658	cinematographer	\N	\N
tt0000860	7	nm0555522	cinematographer	\N	\N
tt0000860	8	nm0250676	actress	\N	["At Party"]
tt0000860	9	nm0502701	actress	\N	\N
tt0000861	10	nm0173994	actor	\N	["At Church"]
tt0000861	1	nm0456804	actor	\N	["Silas Marner"]
tt0000861	2	nm0784407	actor	\N	["William Dane"]
tt0000861	3	nm0076202	actress	\N	["Old Woman"]
tt0000861	4	nm0115524	actress	\N	["At Church"]
tt0000861	5	nm0000428	director	\N	\N
tt0000861	6	nm0253652	writer	novel "Silas Marner"	\N
tt0000861	7	nm0940488	writer	writer	\N
tt0000861	8	nm0005658	cinematographer	\N	\N
tt0000861	9	nm0163559	actor	\N	["Minister"]
tt0000862	10	nm5289318	actor	\N	["Doktor"]
tt0000862	1	nm5289829	actor	\N	["Charles"]
tt0000862	2	nm0264569	actress	\N	["Gervaise"]
tt0000862	3	nm0386036	actor	\N	["Fader Loriot"]
tt0000862	4	nm0511080	actor	\N	["Blegnæb"]
tt0000862	5	nm0878467	director	\N	\N
tt0000862	6	nm0957652	writer	novel "L'Assommoir"	\N
tt0000862	7	nm0535230	cinematographer	\N	\N
tt0000862	8	nm0526190	production_designer	\N	\N
tt0000862	9	nm5188470	actor	\N	["Vært"]
tt0000863	1	nm0294276	director	\N	\N
tt0000863	2	nm0378408	producer	producer	\N
tt0000864	10	nm0311375	actor	\N	["Party Guest"]
tt0000864	1	nm0502701	actress	\N	["Mrs. Francis"]
tt0000864	2	nm0949133	actor	\N	["Young Man"]
tt0000864	3	nm0376829	actress	\N	["Young Man's Mother"]
tt0000864	4	nm0813603	actor	\N	["Young Man's Father"]
tt0000864	5	nm0000428	director	\N	\N
tt0000864	6	nm0005658	cinematographer	\N	\N
tt0000864	7	nm0732651	actress	\N	["The Maid","Party Guest"]
tt0000864	8	nm0038106	actress	\N	\N
tt0000864	9	nm0173994	actor	\N	["Party Guest"]
tt0000865	1	nm0294276	director	\N	\N
tt0000865	2	nm0378408	producer	producer	\N
tt0000866	1	nm0294276	director	\N	\N
tt0000866	2	nm0378408	producer	producer	\N
tt0000867	1	nm0023107	director	\N	\N
tt0000868	1	nm0005717	director	\N	\N
tt0000869	1	nm0005717	director	\N	\N
tt0000870	10	nm0376829	actress	\N	["Fool's Accomplice"]
tt0000870	1	nm0601698	actor	\N	["The Duke"]
tt0000870	2	nm0409390	actor	\N	["The Fool"]
tt0000870	3	nm0502701	actress	\N	["The Daughter"]
tt0000870	4	nm0038106	actress	\N	["At Court"]
tt0000870	5	nm0000428	director	\N	\N
tt0000870	6	nm0401076	writer	novel "Le Roi s'Amuse"	\N
tt0000870	7	nm0005658	cinematographer	\N	\N
tt0000870	8	nm0173994	actor	\N	["At Court"]
tt0000870	9	nm0369058	actor	\N	["At Court"]
tt0000871	1	nm0456804	actor	\N	["Ben Webster"]
tt0000871	2	nm0502701	actress	\N	["Fanny Webster"]
tt0000871	3	nm0288616	actor	\N	["Ed Hilton"]
tt0000871	4	nm0910400	actor	\N	\N
tt0000871	5	nm0000428	director	\N	\N
tt0000871	6	nm0940488	writer	writer	\N
tt0000871	7	nm0005658	cinematographer	\N	\N
tt0000871	8	nm0064415	actor	\N	["Extra"]
tt0000872	1	nm0298301	actress	\N	\N
tt0000872	2	nm0111753	director	\N	\N
tt0000873	1	nm2161079	actress	\N	\N
tt0000873	2	nm0882643	actress	\N	\N
tt0000873	3	nm0698839	director	\N	\N
tt0000873	4	nm0701090	writer	poem "The Fountain of Bakhchisaray"	\N
tt0000873	5	nm1234058	producer	producer	\N
tt0000873	6	nm10094537	producer	producer	\N
tt0000873	7	nm1234590	producer	producer	\N
tt0000873	8	nm4893143	producer	producer	\N
tt0000873	9	nm0900111	cinematographer	\N	\N
tt0000874	10	nm0492757	actress	\N	["Nurse"]
tt0000874	1	nm0173994	actor	\N	["Leon Martinel"]
tt0000874	2	nm0424530	actor	\N	["Gaston Tortoni"]
tt0000874	3	nm0043018	actor	\N	["Alphonse de Signoles"]
tt0000874	4	nm0038106	actress	\N	\N
tt0000874	5	nm0000428	director	\N	\N
tt0000874	6	nm0005658	cinematographer	\N	\N
tt0000874	7	nm0555522	cinematographer	\N	\N
tt0000874	8	nm0376829	actress	\N	["Nurse"]
tt0000874	9	nm0409390	actor	\N	["At Duel"]
tt0000875	1	nm0288616	actor	\N	["Jack Hudson"]
tt0000875	2	nm0601698	actor	\N	["Robert Edmonds"]
tt0000875	3	nm0581499	actress	\N	["Estelle Morse (unconfirmed)"]
tt0000875	4	nm0000428	director	\N	\N
tt0000875	5	nm0005658	cinematographer	\N	\N
tt0000875	6	nm0555522	cinematographer	\N	\N
tt0000876	1	nm0298301	actress	\N	\N
tt0000876	2	nm0877550	actress	\N	\N
tt0000876	3	nm0692105	director	\N	\N
tt0000877	10	nm0173994	actor	\N	["Miner"]
tt0000877	1	nm0704334	actor	\N	["Bud"]
tt0000877	2	nm0681933	actress	\N	["Miss Lucy"]
tt0000877	3	nm0456804	actor	\N	["Jim Blake"]
tt0000877	4	nm0041858	actor	\N	\N
tt0000877	5	nm0000428	director	\N	\N
tt0000877	6	nm0005658	cinematographer	\N	\N
tt0000877	7	nm0054884	actress	\N	\N
tt0000877	8	nm0115524	actress	\N	["Party Guest"]
tt0000877	9	nm0163559	actor	\N	["Party Guest"]
tt0000878	10	nm0681933	actress	\N	["Woman on Sidewalk"]
tt0000878	1	nm0502701	actress	\N	["Nanette Ranfrea"]
tt0000878	2	nm0115524	actress	\N	["Woman on Sidewalk"]
tt0000878	3	nm0262757	actor	\N	["Man on Pier"]
tt0000878	4	nm0424530	actor	\N	["An Admirer"]
tt0000878	5	nm0000428	director	\N	\N
tt0000878	6	nm0005658	cinematographer	\N	\N
tt0000878	7	nm0456804	actor	\N	["An Admirer"]
tt0000878	8	nm0629589	actor	\N	["Manager of Beach House"]
tt0000878	9	nm0642722	actor	\N	["Commodore FItzmaurice"]
tt0000879	1	nm1747784	self	\N	["Himself"]
tt0000879	2	nm2681099	self	\N	["Himself"]
tt0000879	3	nm0023107	director	\N	\N
tt0000880	10	nm0115524	actress	\N	\N
tt0000880	1	nm0587097	actor	\N	["Dr. Payson"]
tt0000880	2	nm0492757	actress	\N	["Dr. Payson's First Daughter"]
tt0000880	3	nm0922044	actress	\N	["Dr. Payson's Second Daughter"]
tt0000880	4	nm0054884	actress	\N	\N
tt0000880	5	nm0000428	director	\N	\N
tt0000880	6	nm0005658	cinematographer	\N	\N
tt0000880	7	nm0555522	cinematographer	\N	\N
tt0000880	8	nm0076202	actress	\N	\N
tt0000880	9	nm0102858	actress	\N	\N
tt0000881	1	nm0304098	writer	writer	\N
tt0000882	10	nm0311375	actor	\N	["Reveller"]
tt0000882	1	nm0376829	actress	\N	["The Mother"]
tt0000882	2	nm0214651	actress	\N	["The Child"]
tt0000882	3	nm0601698	actor	\N	["The Good Samaritan"]
tt0000882	4	nm0409390	actor	\N	["The Gambler"]
tt0000882	5	nm0000428	director	\N	\N
tt0000882	6	nm0555522	cinematographer	\N	\N
tt0000882	7	nm0038106	actress	\N	["Reveller"]
tt0000882	8	nm0115524	actress	\N	\N
tt0000882	9	nm0250676	actress	\N	\N
tt0000883	1	nm0488932	actor	\N	["Sherlock Holmes"]
tt0000883	2	nm0390479	actor	\N	["Dr. Watson"]
tt0000883	3	nm0526168	actor	\N	["Lord Beresford"]
tt0000883	4	nm0684773	actor	\N	["Willy"]
tt0000883	5	nm0236279	writer	main characters	\N
tt0000883	6	nm0647763	producer	producer	\N
tt0000883	7	nm0333175	cinematographer	\N	\N
tt0000883	8	nm0919469	actor	\N	["John"]
tt0000884	1	nm0088881	actor	\N	\N
tt0000884	2	nm5227669	actress	\N	\N
tt0000884	3	nm0488932	actor	\N	\N
tt0000884	4	nm1069712	actress	\N	\N
tt0000884	5	nm0526168	actor	\N	\N
tt0000884	6	nm0684773	actor	\N	\N
tt0000885	1	nm0102510	actor	\N	\N
tt0000885	2	nm0302647	actor	\N	\N
tt0000885	3	nm0346090	actress	\N	\N
tt0000885	4	nm0347566	actor	\N	\N
tt0000885	5	nm0005717	director	\N	\N
tt0000885	6	nm0422930	director	\N	\N
tt0000885	7	nm0651029	actor	\N	\N
tt0000885	8	nm0944584	actress	\N	\N
tt0000886	1	nm0609814	actor	\N	["Hamlet"]
tt0000886	2	nm0099901	director	\N	\N
tt0000886	3	nm0000636	writer	play	\N
tt0000887	1	nm0819384	actress	\N	["Hansel"]
tt0000887	2	nm0298301	actress	\N	["Gretel"]
tt0000887	3	nm0115162	actress	\N	["The Witch"]
tt0000887	4	nm0205986	director	\N	\N
tt0000887	5	nm0692105	producer	producer	\N
tt0000887	6	nm0339765	cinematographer	\N	\N
tt0000888	1	nm0644728	actor	\N	\N
tt0000888	2	nm0877550	actress	\N	\N
tt0000888	3	nm0692105	director	\N	\N
tt0000889	1	nm0001908	actor	\N	["Honest Steve"]
tt0000889	2	nm1399761	actor	\N	["Bad Steve"]
tt0000889	3	nm1322270	actress	\N	["Kitty Blair"]
tt0000889	4	nm0161366	actor	\N	\N
tt0000889	5	nm0730386	cinematographer	\N	\N
tt0000889	6	nm0807358	actor	\N	\N
tt0000889	7	nm1400009	actor	\N	\N
tt0000889	8	nm0639631	actor	\N	\N
tt0000890	10	nm0038106	actress	\N	["Wedding Guest"]
tt0000890	1	nm0456804	actor	\N	["Husband","Outlaw"]
